序号, 日期  ,时间 , 模块编号 ,通道, 传感器型号 , 传感器编号,数据1 ,单位1, 数据2 ,单位2,电阻值,温度,预警
262,2013-12-03,11:48,34306002,06,JMZX-XXXX,---,*,,*,,518,1.8,
263,2013-12-03,11:48,34306002,07,JMZX-XXXX,---,*,,*,,514,1.4,
264,2013-12-03,11:48,34306002,08,JMZX-XXXX,---,*,,*,,515,1.5,
265,2013-12-03,11:48,34306002,09,JMZX-XXXX,---,*,,*,,511,1.1,
266,2013-12-03,11:48,34306002,10,JMZX-XXXX,---,*,,*,,513,1.3,
267,2013-12-03,11:48,34306002,11,JMZX-XXXX,---,*,,*,,516,1.6,
268,2013-12-03,11:48,34306002,12,JMZX-XXXX,---,*,,*,,518,1.8,
269,2013-12-03,11:48,34306002,13,JMZX-XXXX,---,*,,*,,516,1.6,
270,2013-12-03,11:48,34306002,14,JMZX-XXXX,---,*,,*,,513,1.3,
271,2013-12-03,11:48,34306002,15,JMZX-XXXX,---,*,,*,,516,1.6,
272,2013-12-03,11:48,34306002,16,JMZX-XXXX,---,*,,*,,518,1.8,
273,2013-12-03,11:48,34306002,17,JMZX-XXXX,---,*,,*,,514,1.4,
274,2013-12-03,11:48,34306002,18,JMZX-XXXX,---,*,,*,,514,1.4,
275,2013-12-03,11:48,34306002,19,JMZX-XXXX,---,*,,*,,513,1.3,
276,2013-12-03,11:48,34306002,20,JMZX-XXXX,---,*,,*,,515,1.5,
277,2013-12-03,11:48,34306002,21,JMZX-XXXX,---,*,,*,,523,2.3,
278,2013-12-03,11:48,34306002,22,JMZX-XXXX,---,*,,*,,524,2.4,
279,2013-12-03,11:48,34306002,23,JMZX-XXXX,---,*,,*,,519,1.9,
280,2013-12-03,11:48,34306002,24,JMZX-XXXX,---,*,,*,,515,1.5,
281,2013-12-03,11:48,34306002,25,JMZX-XXXX,---,*,,*,,521,2.1,
282,2013-12-03,11:48,34306002,26,JMZX-XXXX,---,*,,*,,513,1.3,
283,2013-12-03,11:48,34306002,27,JMZX-XXXX,---,*,,*,,514,1.4,
284,2013-12-03,11:48,34306002,28,JMZX-XXXX,---,*,,*,,517,1.7,
285,2013-12-03,11:48,34306002,29,JMZX-XXXX,---,*,,*,,518,1.8,
286,2013-12-03,11:48,34306002,30,JMZX-XXXX,---,*,,*,,518,1.8,
287,2013-12-03,11:48,34306002,31,JMZX-XXXX,---,*,,*,,517,1.7,
288,2013-12-03,11:48,34306002,32,JMZX-XXXX,---,*,,*,,515,1.5,
289,2013-12-03,11:50,34306002,01,JMZX-XXXX,---,*,,*,,506,0.6,
290,2013-12-03,11:50,34306002,02,JMZX-XXXX,---,*,,*,,512,1.2,
291,2013-12-03,11:50,34306002,03,JMZX-XXXX,---,*,,*,,528,2.8,
292,2013-12-03,11:50,34306002,04,JMZX-XXXX,---,*,,*,,513,1.3,
293,2013-12-03,11:50,34306002,05,JMZX-XXXX,---,*,,*,,525,2.5,
294,2013-12-03,11:50,34306002,06,JMZX-XXXX,---,*,,*,,516,1.6,
295,2013-12-03,11:50,34306002,07,JMZX-XXXX,---,*,,*,,515,1.5,
296,2013-12-03,11:50,34306002,08,JMZX-XXXX,---,*,,*,,514,1.4,
297,2013-12-03,11:50,34306002,09,JMZX-XXXX,---,*,,*,,511,1.1,
298,2013-12-03,11:50,34306002,10,JMZX-XXXX,---,*,,*,,512,1.2,
299,2013-12-03,11:50,34306002,11,JMZX-XXXX,---,*,,*,,514,1.4,
300,2013-12-03,11:50,34306002,12,JMZX-XXXX,---,*,,*,,518,1.8,
301,2013-12-03,11:50,34306002,13,JMZX-XXXX,---,*,,*,,515,1.5,
302,2013-12-03,11:50,34306002,14,JMZX-XXXX,---,*,,*,,512,1.2,
303,2013-12-03,11:50,34306002,15,JMZX-XXXX,---,*,,*,,516,1.6,
304,2013-12-03,11:50,34306002,16,JMZX-XXXX,---,*,,*,,519,1.9,
305,2013-12-03,11:50,34306002,17,JMZX-XXXX,---,*,,*,,513,1.3,
306,2013-12-03,11:50,34306002,18,JMZX-XXXX,---,*,,*,,513,1.3,
307,2013-12-03,11:50,34306002,19,JMZX-XXXX,---,*,,*,,514,1.4,
308,2013-12-03,11:50,34306002,20,JMZX-XXXX,---,*,,*,,516,1.6,
309,2013-12-03,11:50,34306002,21,JMZX-XXXX,---,*,,*,,523,2.3,
310,2013-12-03,11:50,34306002,22,JMZX-XXXX,---,*,,*,,523,2.3,
